StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q62,Q10,Q9,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q24,Q24_3_TEXT,Q26,Q26_3_TEXT,Q28,Q28_3_TEXT,Q30,Q30_3_TEXT,Q28,Q28_3_TEXT,Q29,Q29_3_TEXT,Q30,Q30_3_TEXT,Q31,Q31_3_TEXT,Q32,Q32_3_TEXT,Q33,Q33_3_TEXT,Q34,Q34_3_TEXT,Q35,Q35_3_TEXT,Q36,Q36_3_TEXT,Q37,Q37_3_TEXT,Q38,Q38_3_TEXT,Q39,Q39_3_TEXT,Q40,Q40_3_TEXT,Q41,Q41_3_TEXT,Q42,Q42_3_TEXT,Q43,Q43_3_TEXT,Q44,Q44_3_TEXT,Q45,Q45_3_TEXT,Q46,Q46_3_TEXT,Q47,Q47_3_TEXT,Q48,Q48_3_TEXT,Q49,Q49_3_TEXT,Q50,Q50_3_TEXT,Q51,Q51_3_TEXT,Q52,Q52_3_TEXT,Q53,Q53_3_TEXT,Q54,Q54_3_TEXT,Q55,Q55_3_TEXT,Q56,Q56_3_TEXT,Q57,Q57_3_TEXT,Q58,Q58_3_TEXT,Q59,Q59_3_TEXT,Q60,Q60_3_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Enter your NetID,I am a CS:,What year are you?,"How many CS courses do you want to take this Fall? (type a number, ex. 2)","How many of each category do you have remaining? (type a number, ex. 2) - Theory (Breadth)","How many of each category do you have remaining? (type a number, ex. 2) - Systems (Breadth)","How many of each category do you have remaining? (type a number, ex. 2) - Artificial Intelligence (Breadth)","How many of each category do you have remaining? (type a number, ex. 2) - Interfaces (Breadth)","How many of each category do you have remaining? (type a number, ex. 2) - Software Development (Breadth)","How many of each category do you have remaining? (type a number, ex. 2) - Project Courses","How many of each category do you have remaining? (type a number, ex. 2) - Technical Electives",CS 110 - Selected Choice,CS 110 - Want to Enroll - Text,CS 111 - Selected Choice,CS 111 - Want to Enroll: - Text,CS 150 - Selected Choice,CS 150 - Want to Enroll: - Text,CS 211 - Selected Choice,CS 211 - Want to Enroll - Text,CS 212 - Selected Choice,CS 212 - Want to Enroll - Text,CS 213 - Selected Choice,CS 213 - Want to Enroll - Text,CS 214 - Selected Choice,CS 214 - Want to Enroll - Text,CS 217 - Selected Choice,CS 217 - Want to Enroll - Text,CS 295 - Selected Choice,CS 295 - Want to Enroll - Text,CS 315 - Selected Choice,CS 315 - Want to Enroll - Text,CS 321 - Selected Choice,CS 321 - Want to Enroll - Text,CS 323 - Selected Choice,CS 323 - Want to Enroll - Text,CS 325-1 - Selected Choice,CS 325-1 - Want to Enroll - Text,CS 330 - Selected Choice,CS 330 - Want to Enroll - Text,CS 331 - Selected Choice,CS 331 - Want to Enroll - Text,CS 335 - Selected Choice,CS 335 - Want to Enroll - Text,CS 336 - Selected Choice,CS 336 - Want to Enroll - Text,CS 338 - Selected Choice,CS 338 - Want to Enroll - Text,CS 340 - Selected Choice,CS 340 - Want to Enroll - Text,CS 343 - Selected Choice,CS 343 - Want to Enroll - Text,CS 348 - Selected Choice,CS 348 - Want to Enroll - Text,CS 349 - Selected Choice,CS 349 - Want to Enroll - Text,CS 351-1 - Selected Choice,CS 351-1 - Want to Enroll - Text,CS 376 - Selected Choice,CS 376 - Want to Enroll - Text,CS 396/496 - Rogers - Selected Choice,CS 396/496 - Rogers - Want to Enroll - Text,CS 396/496 - Pardo - Selected Choice,CS 396/496 - Pardo - Want to Enroll - Text,CS 396/496 - Dimoulas - Selected Choice,CS 396/496 - Dimoulas - Want to Enroll - Text,CS 396 - Wang - Selected Choice,CS 396 - Wang - Want to Enroll - Text,CS 396 - Vakil/Van Wart - Selected Choice,CS 396 - Vakil/Van Wart - Want to Enroll - Text,CS 396/496 - Chancellor - Selected Choice,CS 396/496 - Chancellor - Want to Enroll - Text,CS 397/497 - Wise/Hammond - Selected Choice,CS 397/497 - Wise/Hammond - Want to Enroll - Text,CS 397/497 - Worsley - Selected Choice,CS 397/497 - Worsley - Want to Enroll - Text,CS 397/497 - Riesbeck - Selected Choice,CS 397/497 - Riesbeck - Want to Enroll - Text,CS 409 - Selected Choice,CS 409 - Want to Enroll - Text,CS 496 - Makarychev - Selected Choice,CS 496 - Makarychev - Want to Enroll - Text,CS 497 - Zhang - Selected Choice,CS 497 - Zhang - Want to Enroll - Text,CS 497 - O'Rourke - Selected Choice,CS 497 - O'Rourke - Want to Enroll - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_3_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_3_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_3_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_3_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_3_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_3_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_3_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_3_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_3_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_3_TEXT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_3_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID35_3_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_3_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID37_3_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_3_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_3_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_3_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_3_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_3_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_3_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_3_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_3_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_3_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_3_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_3_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_3_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_3_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_3_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_3_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID54_3_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_3_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_3_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_3_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_3_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_3_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_3_TEXT""}"
2020-08-12 17:26:39,2020-08-12 17:26:50,Survey Preview,,100,11,True,2020-08-12 17:26:51,R_063torU01YuaDv3,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13 15:49:58,2020-08-13 15:50:02,Survey Preview,,100,3,True,2020-08-13 15:50:03,R_1BPphpAxrj5kFRR,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13 15:52:03,2020-08-13 15:52:08,Survey Preview,,100,5,True,2020-08-13 15:52:09,R_3NOp0xJmLbxJfsP,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13 16:18:19,2020-08-13 16:18:28,Survey Preview,,100,8,True,2020-08-13 16:18:28,R_27JvcqEPpHgoSjS,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13 16:21:29,2020-08-13 16:21:43,Survey Preview,,100,13,True,2020-08-13 16:21:44,R_1OZXFgfz5kjlp6Q,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,,,,,,,,,,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-14 09:46:32,2020-08-14 09:50:12,Survey Preview,,100,220,True,2020-08-14 09:50:13,R_2wMRvHkDtFcrK0g,,,,,42.05499267578125,-87.695098876953125,preview,EN,,,,,,,,,,,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-15 19:53:56,2020-08-15 19:54:42,Survey Preview,,100,45,True,2020-08-15 19:54:43,R_1QhhWRyjJndAwau,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,,,,,,,,,,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-16 16:32:37,2020-08-16 16:34:43,Survey Preview,,100,126,True,2020-08-16 16:34:45,R_pSCCXSkJTYeEjIt,,,,,39.4795989990234375,-88.3755035400390625,preview,EN,,Undergrad Major,Junior,2,,,,,,,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Want to Enroll,100,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,100,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
